Nombre	Fechas	Valores
104130038	2015-10-01	91.76
104130038	2015-11-01	92.22
104130038	2015-12-01	92.23
104130038	2016-01-01	92.34
104130038	2016-02-01	92.4
104130038	2016-03-01	92.42
104130038	2016-04-01	92.3
104130038	2016-05-01	92.42
104130038	2016-06-01	92.27
104130038	2016-07-01	92.16
104130038	2016-08-01	92.08
104130038	2016-09-01	91.89
104130038	2016-10-01	91.84
104130038	2016-11-01	91.86
104130038	2016-12-01	92.37
104130038	2017-01-01	92.55
104130038	2017-02-01	92.65
104130038	2017-03-01	92.91
104130038	2017-04-01	93.37
104130038	2017-05-01	93.42
104130038	2017-06-01	93.19
104130038	2017-07-01	92.8
104130038	2017-08-01	92.58
104130038	2017-09-01	92.25
104130038	2017-10-01	92.2
104130038	2017-11-01	92.17
104130038	2017-12-01	92.51
104130038	2018-01-01	92.27
104130038	2018-02-01	92.29
104130038	2018-03-01	92.35
104130038	2018-04-01	92.79
104130038	2018-05-01	93.04
104130038	2018-06-01	92.76
104130038	2018-07-01	92.56
104130038	2018-08-01	92.33
104130038	2018-09-01	92.14
104130038	2018-10-01	91.98
104130038	2018-11-01	92.22
104130038	2018-12-01	92.65
104130038	2019-01-01	92.62
104130038	2019-02-01	92.6
104130038	2019-03-01	92.5
104130038	2019-04-01	92.39
104130038	2019-05-01	92.26
104130038	2019-06-01	92.11
104130038	2019-07-01	91.99
104130038	2019-08-01	91.79
104170015	2010-01-01	31.16
104170015	2010-02-01	31.3
104170015	2010-03-01	30.96
104170015	2010-04-01	30.88
104170015	2010-05-01	30.33
104170015	2010-06-01	30.26
104170015	2010-07-01	30.13
104170015	2010-08-01	29.9
104170015	2010-09-01	29.74
104170015	2010-10-01	29.76
104170015	2010-11-01	29.91
104170015	2010-12-01	30.38
104170015	2011-01-01	31.01
104170015	2011-02-01	31.01
104170015	2011-03-01	31.29
104170015	2011-04-01	30.88
104170015	2011-05-01	30.66
104170015	2011-06-01	30.35
104170015	2011-07-01	30.05
104170015	2011-08-01	29.68
104170015	2011-09-01	29.64
104170015	2011-10-01	29.48
104170015	2011-11-01	30.45
104170015	2011-12-01	30.38
104170015	2012-01-01	30.28
104170015	2012-02-01	30.18
104170015	2012-03-01	30.18
104170015	2012-04-01	30.16
104170015	2012-05-01	30.18
104170015	2012-06-01	29.81
104170015	2012-07-01	29.58
104170015	2012-08-01	29.52
104170015	2012-09-01	29.38
104170015	2012-10-01	29.38
104170015	2012-11-01	30.36
104170015	2012-12-01	30.38
104170015	2013-01-01	30.28
104170015	2013-02-01	30.28
104170015	2013-03-01	30.98
104170015	2013-04-01	30.68
104170015	2013-05-01	30.38
104170015	2013-06-01	30.02
104170015	2013-07-01	29.9
104170015	2013-08-01	29.76
104170015	2013-09-01	29.54
104170015	2013-10-01	29.68
104170015	2013-11-01	29.73
104170015	2013-12-01	29.69
104170015	2014-01-01	29.9
104170015	2014-02-01	30.38
104170015	2014-03-01	30.2
104170015	2014-04-01	30.43
104170015	2014-05-01	30.02
104170015	2014-06-01	29.76
104170015	2014-07-01	29.56
104170015	2014-08-01	29.4
104170015	2014-09-01	29.29
104170015	2014-10-01	29.42
104170015	2014-11-01	29.75
104170015	2014-12-01	30.24
104170015	2015-01-01	30.69
104170015	2015-02-01	30.46
104170015	2015-03-01	30.29
104170015	2015-04-01	30.25
104170015	2015-05-01	30.03
104170015	2015-06-01	29.74
104170015	2015-07-01	29.58
104170015	2015-08-01	29.42
104170015	2015-09-01	29.33
104170015	2015-10-01	29.43
104170015	2015-11-01	30.02
104170015	2015-12-01	29.99
104170015	2016-01-01	30.3
104170015	2016-02-01	30.19
104170015	2016-03-01	30.14
104170015	2016-04-01	30.12
104170015	2016-05-01	30.4
104170015	2016-06-01	29.95
104170015	2016-07-01	29.68
104170015	2016-08-01	29.45
104170015	2016-09-01	29.37
104170015	2016-10-01	29.67
104170015	2016-11-01	29.86
104170015	2016-12-01	30.74
104170015	2017-01-01	30.41
104170015	2017-02-01	31.13
104170015	2017-03-01	30.51
104170015	2017-04-01	30.36
104170015	2017-05-01	30.54
104170015	2017-06-01	30.22
104170015	2017-07-01	29.75
104170015	2017-08-01	29.79
104170015	2017-09-01	29.62
104170015	2017-10-01	29.55
104170015	2017-11-01	29.8
104170015	2017-12-01	30.06
104170015	2018-01-01	30.08
104170015	2018-02-01	30.04
104170015	2018-03-01	30.59
104170015	2018-04-01	30.71
104170015	2018-05-01	30.43
104170015	2018-06-01	30.26
104170015	2018-07-01	29.98
104170015	2018-08-01	29.8
104170015	2018-09-01	29.56
104170015	2018-10-01	29.88
104170015	2018-11-01	30.37
104170015	2018-12-01	30.31
104170015	2019-01-01	30.42
104170015	2019-02-01	30.36
104170015	2019-03-01	30.23
104170015	2019-04-01	30.18
104170015	2019-05-01	30.0
104170015	2019-06-01	29.84
104170015	2019-07-01	29.73
104170015	2019-08-01	29.5
104240124	2010-01-01	
104240124	2010-02-01	
104240124	2010-03-01	
104240124	2010-04-01	10.83
104240124	2010-05-01	10.48
104240124	2010-06-01	10.36
104240124	2010-07-01	10.21
104240124	2010-08-01	10.13
104240124	2010-09-01	10.1
104240124	2010-10-01	10.3
104240124	2010-11-01	10.63
104240124	2010-12-01	10.66
104240124	2011-01-01	10.8
104240124	2011-02-01	10.83
104240124	2011-03-01	10.8
104240124	2011-04-01	10.88
104240124	2011-05-01	10.53
104240124	2011-06-01	10.43
104240124	2011-07-01	10.23
104240124	2011-08-01	10.13
104240124	2011-09-01	10.27
104240124	2011-10-01	10.3
104240124	2011-11-01	10.66
104240124	2011-12-01	10.63
104240124	2012-01-01	10.61
104240124	2012-02-01	10.51
104240124	2012-03-01	10.5
